ID_Jugador,Videojuego,Desarrolladora,Plataforma,Genero,Anio_Lanzamiento,Nivel_Satisfaccion,Dificultad_Juego,Frecuencia_Juego,Tipo_Jugador,Plataforma_Preferida,Edad_Jugador,Juegos_Comprados_Anio,Horas_Juego_Semanal,Logros_Desbloqueados,Amigos_Plataforma,Partidas_Jugadas_Total,Precio_Juego_USD,Gasto_Mensual_USD,Puntuacion_Metacritic,Tiempo_Juego_Total_Horas,Tasa_Victoria_Porcentaje,FPS_Promedio
16133,stardew valley,concernedape, Multiplataforma ,Indie ,2016,Neutral,dificil, Diaria ,Profesional,multiplataforma,50,9,9,55,102,491,42.1,58.32,75.6,16.3,30.0,78.0
16134, Mortal Kombat ,NetherRealm ,MULTIPLATAFORMA,LUCHA,1992,Satisfecho,MEDIA,MENSUAL,PROFESIONAL, PlayStation ,43,15,18,50,109,514,41.38,25.05,59.9,24.5,34.3,50.0
16135,UNCHARTED 4,Naughty Dog ,  PlayStation,Accion/Aventura ,2016, Muy Satisfecho ,Media,DIARIA,Profesional,NINTENDO,15,14,18,48,112,500,32.96,79.2,87.8,62.4,64.0,59.0
16136,PERSONA 5,Atlus,PlayStation , RPG ,2016,muy satisfecho, media ,semanal,HARDCORE, Xbox ,41,6,21,53,96,482,60.01,,89.4,30.7,150.0,47.0
16137,god of war, Santa Monica Studio ,PlayStation ,  Accion/Aventura,2018,neutral,Fácil,diaria,intermedio,PC,48,13,17,43,99,503,9.18,35.92,71.9,53.7,58.6,30.0
16138,minecraft,Mojang ,Multiplataforma , Indie ,2011,INSATISFECHO, difícil , semanal , profesional , PlayStation ,34,12,17,43,120,473,51.73,238.4,94.0,219.3,77.3,40.0
16139,Minecraft,Mojang ,MULTIPLATAFORMA,Indie,2011,muy satisfecho,MUY FÁCIL,OCASIONAL, profesional ,Nintendo,50,13,16,52,104,479,38.68,80.01,73.4,173.9,67.3,50.0
16140,tomb raider,  Crystal Dynamics,Multiplataforma,accion/aventura,2013,MUY INSATISFECHO,MUY FÁCIL,OCASIONAL, hardcore ,PC,26,4,13,51,109,516,90.56,11.14,86.7,99.4,80.4,55.0
16141, Persona 5 ,Atlus,playstation,RPG,2016, Neutral,MUY DIFICIL,semanal,Hardcore, Xbox ,54,6,18,38,79,488,75.14,65.7,50.7,195.3,51.6,56.0
16142,FIFA,EA Sports,MULTIPLATAFORMA,Deportes ,1993,Satisfecho,MUY FÁCIL, mensual ,CASUAL,Xbox,40,10,9,48,87,497,15.14,121.4,80.3,153.1,82.2,58.0
16143,OVERWATCH,  Blizzard,multiplataforma,shooter,2016,MUY SATISFECHO,dificil, mensual ,profesional, PlayStation ,47,15,7,58,117,473,12.93,98.61,70.9,56.0,57.2,50.0
16144,Stardew Valley, ConcernedApe ,MULTIPLATAFORMA,INDIE,2016,neutral, Muy Fácil ,mensual,CASUAL,playstation,24,12,15,57,76,514,159.93,15.11,77.3,22.4,53.4,87.0
16145,SKYRIM,bethesda,multiplataforma, RPG ,2011,NEUTRAL, media ,Ocasional,profesional,nintendo,43,9,17,46,93,471,29.97,287.25,76.7,72.2,79.2,79.0
16146,CALL OF DUTY, Activision ,MULTIPLATAFORMA,  Shooter,2003,insatisfecho,Fácil,ocasional,intermedio,PC,18,7,16,43,96,506,94.76,47.65,76.9,133.3,32.6,57.0
16147, FIFA ,ea sports,Multiplataforma, Deportes ,1993,satisfecho,muy dificil,MENSUAL,hardcore, Multiplataforma ,33,8,20,48,112,497,7.16,,84.2,57.3,90.5,65.0
16148,AGE OF EMPIRES,Microsoft,  PC,Estrategia,1997,SATISFECHO,muy facil,diaria,HARDCORE,pc,39,14,14,57,88,517,41.18,15.9,66.5,109.9,44.4,53.0
16149,Call of Duty,ACTIVISION,Multiplataforma ,Shooter,2003,Satisfecho,MUY DIFÍCIL,MENSUAL, Casual , Xbox ,13,3,16,50,102,454,66.4,8.27,83.5,9.9,25.6,3.0
16150,Fortnite, Epic Games ,multiplataforma,  Shooter,2017,muy insatisfecho,muy dificil,DIARIA,CASUAL,xbox,53,10,15,50,94,498,117.8,130.17,93.5,137.8,63.1,60.0
16151,SUPER SMASH BROS,NINTENDO,SWITCH,Lucha ,1999, Neutral,muy dificil,MENSUAL,HARDCORE,NINTENDO,17,8,18,57,83,501,16.46,10.41,53.8,167.5,-30.0,66.0
16152,civilization,firaxis,PC,estrategia,1991,Muy Insatisfecho,MEDIA, Diaria ,hardcore,MULTIPLATAFORMA,39,19,14,42,107,517,51.64,10.69,63.3,122.7,90.5,28.0
16153,FINAL FANTASY, Square Enix ,Multiplataforma,  RPG,1987,Muy Insatisfecho, Muy Fácil ,Ocasional,hardcore,NINTENDO,39,13,14,61,87,487,30.96,152.02,63.9,341.9,41.3,70.0
16154,Dark Souls,FROMSOFTWARE,Multiplataforma ,rpg,2011,Neutral,dificil,mensual,PROFESIONAL,XBOX,31,10,11,51,97,501,2.5,33.8,58.6,175.2,56.3,54.0
16155,Tomb Raider,CRYSTAL DYNAMICS,MULTIPLATAFORMA,ACCION/AVENTURA,2013,satisfecho, media ,Mensual,profesional,xbox,41,13,22,46,109,496,46.85,2.51,67.9,233.4,21.5,67.0
16156, Halo , Bungie ,  Xbox,Shooter ,2001,Neutral,dificil,  Diaria  ,intermedio, pc ,22,11,9,58,88,538,46.86,4.26,90.5,271.2,66.3,55.0
16157,APEX LEGENDS,RESPAWN,multiplataforma,Shooter,2019, insatisfecho ,muy facil,MENSUAL,PROFESIONAL,Multiplataforma,39,10,15,57,90,515,,12.27,96.7,161.6,34.5,
16158,NBA 2K, 2K Sports ,  Multiplataforma,Deportes ,1999,neutral,media,DIARIA, hardcore ,PC,36,12,12,41,129,497,27.51,19.2,76.6,112.2,63.9,65.0
16159, Halo ,BUNGIE, Xbox , Shooter ,2001,NEUTRAL, Muy Difícil ,Semanal,PROFESIONAL, pc ,50,9,9,42,98,507,10.47,87.52,70.1,0.6,41.4,80.0
16160,Halo,Bungie,Xbox,Shooter,2001, Muy Satisfecho ,media, mensual ,casual,nintendo,44,8,15,59,105,522,1.82,13.69,87.0,62.7,9.1,
16161, God of War , Santa Monica Studio ,PlayStation,accion/aventura,2018,INSATISFECHO, media ,semanal, hardcore , pc ,12,10,18,51,97,486,21.49,10.12,39.5,84.7,52.6,38.0
16162,gran turismo,Polyphony Digital,PlayStation ,Deportes,1997,MUY SATISFECHO, Muy Fácil ,Ocasional,profesional,PlayStation,38,13,6,46,109,487,14.38,115.76,59.2,36.2,51.7,45.0
16163,HALO,  Bungie,XBOX, Shooter ,2001,Satisfecho,MUY DIFÍCIL,Semanal,Hardcore,PLAYSTATION,24,8,14,43,103,480,,88.95,40.2,38.3,67.6,69.0
16164,Street Fighter,Capcom , Multiplataforma ,Lucha,1987, satisfecho ,Muy Difícil,DIARIA,casual,PC,52,11,12,45,112,502,17.49,45.72,59.0,324.8,81.1,53.0
16165, Stardew Valley ,ConcernedApe, Multiplataforma ,  Indie,2016,Insatisfecho,FÁCIL,mensual,CASUAL,Multiplataforma,14,10,16,35,87,509,119.09,63.76,63.5,222.3,88.2,55.0
16166,God of War,SANTA MONICA STUDIO, PlayStation ,accion/aventura,2018,muy insatisfecho,Fácil,Ocasional,Profesional,PC,50,11,7,45,91,489,,29.92,97.2,189.2,67.3,1000.0
16167,halo,bungie,XBOX, Shooter ,2001, Neutral, difícil ,MENSUAL, hardcore , Xbox ,17,12,19,54,113,502,38.8,52.7,33.6,52.1,55.6,54.0
16168,CIVILIZATION,  Firaxis,pc,  Estrategia,1991,MUY SATISFECHO, fácil ,Semanal,intermedio,XBOX,19,12,19,49,108,490,105.61,56.53,68.7,,21.5,41.0
16169, Call of Duty ,Activision,Multiplataforma,SHOOTER,2003,Insatisfecho, Muy Fácil ,DIARIA,Casual,MULTIPLATAFORMA,38,14,6,57,109,458,57.23,39.18,84.3,8.4,54.0,43.0
16170,Tomb Raider,  Crystal Dynamics,MULTIPLATAFORMA,Accion/Aventura ,2013,Muy Satisfecho, media ,ocasional,Intermedio, Nintendo ,20,7,16,46,96,544,31.66,189.65,81.2,37.4,54.3,104.0
16171,MORTAL KOMBAT,NetherRealm, Multiplataforma ,  Lucha,1992,Neutral,muy dificil, mensual ,PROFESIONAL,playstation,48,8,15,56,109,522,7.95,1.3,96.9,1.6,46.0,-10.0
16172,FIFA,EA Sports,Multiplataforma,DEPORTES,1993,muy insatisfecho, media ,Diaria,casual,playstation,44,10,15,53,95,513,24.54,121.92,77.4,1.7,62.7,33.0
16173,Persona 5,atlus,PlayStation, RPG ,2016, Muy Satisfecho , Muy Fácil , mensual ,Intermedio,nintendo,53,15,15,48,101,493,32.92,10.63,80.6,,72.4,
16174,MINECRAFT,mojang, Multiplataforma , Indie ,2011,INSATISFECHO,Media,mensual,CASUAL, pc ,35,8,15,47,108,485,79.79,127.78,47.4,122.5,33.6,48.0
16175,AMONG US,InnerSloth, Multiplataforma , Indie ,2018, Neutral,MUY DIFÍCIL,semanal, intermedio , Multiplataforma ,26,5,18,49,87,503,26.26,,,37.0,33.3,56.0
16176, Call of Duty ,Activision ,Multiplataforma,shooter,2003,Neutral, fácil ,SEMANAL,Hardcore  , pc ,-5,12,14,54,89,505,91.18,148.26,48.3,14.2,47.2,79.0
16177,UNCHARTED 4,naughty dog,PlayStation , Accion/Aventura ,2016,MUY INSATISFECHO,dificil,MENSUAL, hardcore ,nintendo,43,6,12,53,122,529,,8.21,83.6,71.7,37.7,77.0
16178, Final Fantasy ,square enix,  Multiplataforma,RPG ,1987,Insatisfecho,muy dificil, ocasional ,Profesional,multiplataforma,35,5,22,52,108,468,5.89,65.49,80.2,0.5,17.2,60.0
16179,SKYRIM,bethesda,  Multiplataforma,rpg,2011, Neutral, Muy Difícil ,SEMANAL,casual,PlayStation,52,16,12,44,101,482,211.78,55.63,79.7,278.7,30.1,51.0
16180,persona 5, Atlus ,PlayStation, RPG ,2016, Muy Satisfecho , Muy Difícil , semanal ,Intermedio, PlayStation ,23,13,25,43,95,473,29.97,97.99,61.8,53.6,25.4,67.0
16181,age of empires,  Microsoft,pc,estrategia,1997, satisfecho ,muy dificil,Semanal,casual,pc,80,12,15,47,97,511,19.89,,60.4,51.5,74.2,25.0
16182, Civilization ,Firaxis,pc,Estrategia ,1991, insatisfecho ,Muy Fácil,Semanal, hardcore ,Xbox,13,6,16,46,96,528,43.05,62.25,78.1,49.5,84.1,100.0
16183, Super Smash Bros ,Nintendo ,Switch ,Lucha ,1999,Muy Satisfecho, Muy Difícil ,DIARIA, hardcore ,Nintendo,14,12,15,53,97,486,4.61,44.91,65.0,7.2,28.1,73.0
16184,uncharted 4,naughty dog,PLAYSTATION,  Accion/Aventura,2016, Muy Insatisfecho ,Media,mensual,PROFESIONAL, Nintendo ,48,14,18,42,98,484,40.48,29.55,59.7,101.7,60.9,77.0
16185,SKYRIM, Bethesda ,Multiplataforma,rpg,2011,muy insatisfecho,Muy Fácil, Diaria ,CASUAL,PC,28,9,20,48,90,505,27.59,52.66,67.4,132.1,67.5,39.0
16186, Apex Legends ,  Respawn,multiplataforma,Shooter,2019,NEUTRAL,facil,diaria,Intermedio, Nintendo ,13,12,-20,47,96,503,20.88,10.09,65.1,112.7,20.2,86.0
16187,Stardew Valley,CONCERNEDAPE,Multiplataforma,INDIE,2016, Muy Insatisfecho ,Media,MENSUAL, hardcore ,playstation,13,5,13,74,93,435,122.32,260.6,62.0,14.9,53.2,51.0
16188,HALO,BUNGIE,Xbox , Shooter ,2001, satisfecho ,media,Semanal,Profesional,PC,39,7,22,55,104,495,29.57,100.26,56.6,86.5,100.7,41.0
16189,CALL OF DUTY,activision, Multiplataforma ,SHOOTER,2003,MUY SATISFECHO,MEDIA,Ocasional,HARDCORE,playstation,34,10,17,44,115,477,9.89,243.71,81.7,84.3,63.5,59.0
16190,final fantasy,Square Enix ,Multiplataforma ,RPG ,1987,INSATISFECHO, media ,Semanal,Hardcore,MULTIPLATAFORMA,48,11,15,39,98,529,24.57,20.57,98.3,202.8,45.1,
16191, Skyrim ,Bethesda ,Multiplataforma ,RPG,2011,neutral,Muy Fácil,semanal, intermedio ,  PC  ,43,11,200,56,89,523,100.72,169.18,74.4,47.7,38.8,38.0
16192,OVERWATCH,  Blizzard,Multiplataforma ,Shooter,2016,insatisfecho,facil,semanal, Casual ,XBOX,44,10,18,52,96,509,7.75,132.35,78.3,46.4,9.6,42.0
16193, Halo ,  Bungie,xbox,SHOOTER,2001, Muy Satisfecho ,Fácil,semanal,Casual, Nintendo ,12,11,11,42,89,498,9.63,90.45,83.0,96.4,59.4,41.0
16194, Street Fighter ,Capcom,Multiplataforma ,  Lucha,1987,Satisfecho,MUY DIFÍCIL,OCASIONAL,intermedio,multiplataforma,30,11,13,40,103,487,0.52,78.47,80.5,100.3,89.0,41.0
16195, Final Fantasy ,square enix, Multiplataforma ,RPG,1987,muy satisfecho,Difícil,diaria, profesional ,nintendo,13,10,9,47,96,504,0.57,30.45,62.3,63.4,33.7,52.0
16196,stardew valley,CONCERNEDAPE, Multiplataforma ,Indie ,2016,muy satisfecho,MUY FÁCIL,ocasional,Profesional,playstation,37,-10,10,47,110,538,70.74,135.6,100.8,58.5,11.3,32.0
16197, FIFA ,EA Sports, Multiplataforma ,Deportes ,1993,neutral,Fácil, mensual , Casual ,PC,43,500,19,50,112,494,52.69,55.69,63.6,68.2,36.7,46.0
16198,god of war,Santa Monica Studio ,PLAYSTATION,  Accion/Aventura,2018, insatisfecho ,Muy Fácil, semanal ,Hardcore,Multiplataforma,17,10,11,-50,107,531,17.54,5.88,84.7,197.4,67.6,81.0
16199,Super Smash Bros,Nintendo,Switch , Lucha ,1999, Muy Satisfecho ,MUY FÁCIL,OCASIONAL,Hardcore,PC,43,5,19,56,100000,515,47.93,30.02,,61.8,41.4,76.0
16200,HOLLOW KNIGHT,TEAM CHERRY, Multiplataforma ,indie,2017, Muy Satisfecho ,Muy Difícil,mensual,PROFESIONAL,multiplataforma,15,3,11,51,87,1000000,20.11,,45.6,281.2,33.6,39.0
