ID_Usuario,Anime_Favorito,Estudio,Genero,Anio_Lanzamiento,Temporadas,Nivel_Satisfaccion,Frecuencia_Visualizacion,Calidad_Video,Tipo_Suscripcion,Edad_Usuario,Episodios_Vistos,Animes_Vistos_Anio,Horas_Semanal_Anime,Peliculas_Anime_Vistas,Merchandising_Comprado,Gasto_Mensual_USD,Puntuacion_Anime,Tiempo_Total_Horas,Velocidad_Reproduccion
23162,Konosuba, Studio Deen , Isekai ,2016,2,Neutral, ocasional ,480P,GRATIS,35,52.0,15,10.0,4,3,24.36,7.0,78.7,1.25
23163,death note,  Madhouse,SHONEN,2006,1,Muy Satisfecho, Diaria ,4k,Estudiante,49,66.0,14,8.0,10,1,90.65,4.2,8.0,1.0
23164, Slam Dunk ,toei animation,deportes,1993,5,MUY SATISFECHO, semanal ,480P,premium,44,63.0,17,9.0,3,2,15.64,6.7,63.5,1.25
23165,KUROKO NO BASKET,  Production I.G, Deportes ,2012,3, satisfecho ,Ocasional,480p,GRATIS,45,45.0,16,10.0,2,4,47.0,9.5,1.3,2.0
23166,ONE PIECE,toei animation,shonen,1999,20,MUY INSATISFECHO, mensual , 480p ,Gratis,-5,46.0,14,15.0,6,6,1.61,6.6,766.6,1.25
23167,Death Note,Madhouse,SHONEN,2006,1,MUY INSATISFECHO,mensual,720p, estudiante ,31,44.0,15,16.0,4,4,10.21,8.8,674.8,1.0
23168,THAT TIME I GOT REINCARNATED AS A SLIME, 8bit ,ISEKAI,2018,2,Muy Satisfecho,mensual, 4K ,gratis,14,41.0,17,16.0,4,1,1.73,7.1,100.6,1.5
23169,DEMON SLAYER, ufotable ,SHONEN,2019,3,Neutral,Diaria,1080P, Premium ,38,42.0,20,5.0,8,4,92.57,8.1,260.7,1.5
23170, Attack on Titan ,WIT STUDIO,SHONEN,2013,4,MUY INSATISFECHO,Ocasional,1080P,gratis,44,53.0,15,7.0,5,4,42.45,5.2,84.9,1.25
23171,ONE PUNCH MAN,Madhouse ,Comedia ,2015,2,muy satisfecho,Mensual,1080P,PREMIUM,80,47.0,22,8.0,4,1,47.86,7.7,,1.0
23172,Sword Art Online, A-1 Pictures ,  Isekai,2012,4,satisfecho,Diaria,1080P,premium,44,,15,10.0,7,5,,1.5,327.4,1.5
23173,Fruits Basket, TMS Entertainment ,SHOJO,2019,3, insatisfecho ,diaria,4k,Estudiante,16,42.0,20,11.0,4,2,2.22,,586.6,1.25
23174,GHOST IN THE SHELL,Production I.G,Ciencia Ficción ,2002,2,Muy Insatisfecho, ocasional , 1080p ,ESTUDIANTE,23,32.0,19,8.0,2,1,12.18,4.2,102.2,1.25
23175,ghost in the shell,production i.g,Ciencia Ficción,2002,2,INSATISFECHO,mensual, 480p ,premium,29,45.0,16,6.0,2,4,1.84,9.9,305.8,1.0
23176,DEMON SLAYER, ufotable ,Shonen ,2019,3,Neutral, semanal ,720p,Estudiante,36,38.0,10,12.0,3,3,5.92,9.1,61.8,2.0
23177,Dragon Ball Z, Toei Animation ,shonen,1989,9,satisfecho, mensual ,1080p,Estudiante,17,49.0,17,10.0,3,3,6.51,8.4,927.8,1.25
23178,Monster,Madhouse ,Seinen,2004,1,MUY INSATISFECHO, semanal ,480P, Premium ,46,47.0,18,5.0,8,6,15.83,10.5,5.2,2.0
23179, Monster ,  Madhouse,seinen,2004,1,insatisfecho,SEMANAL, 1080p ,gratis,18,54.0,13,10.0,6,4,,5.6,185.0,2.0
23180,SAILOR MOON,Toei Animation,  Shojo,1992,5, insatisfecho ,Mensual,4k,gratis,34,57.0,19,10.0,0,9,2.66,11.0,215.5,1.5
